#Shape:0 (Polygon)  nVertices=433  nParts=1
#  Bounds: 44.034 25.075
#      to  63.342 39.781
timezone 3.50
xy 73.852 36.893
xy 73.668 36.910
xy 72.557 36.821
xy 72.474 36.762
xy 72.176 36.711
xy 72.182 36.650
xy 72.079 36.632
xy 72.075 36.589
xy 71.904 36.507
xy 71.796 36.492
xy 71.808 36.404
xy 71.633 36.466
xy 71.563 36.372
xy 71.579 36.332
xy 71.507 36.315
xy 71.413 36.220
xy 71.339 36.205
xy 71.187 36.042
xy 71.385 35.942
xy 71.387 35.897
xy 71.440 35.871
xy 71.491 35.757
xy 71.545 35.711
xy 71.509 35.621
xy 71.617 35.555
xy 71.602 35.501
xy 71.649 35.425
xy 71.549 35.301
xy 71.664 35.196
xy 71.536 35.087
xy 71.538 35.020
xy 71.499 34.966
xy 71.309 34.884
xy 71.226 34.744
xy 71.096 34.677
xy 71.089 34.559
xy 70.987 34.551
xy 71.001 34.463
xy 71.159 34.348
xy 71.118 34.260
xy 71.136 34.166
xy 71.077 34.113
xy 71.077 34.052
xy 70.981 34.009
xy 70.906 34.013
xy 70.891 33.966
xy 70.491 33.943
xy 70.003 34.053
xy 69.906 34.035
xy 69.869 33.930
xy 69.986 33.753
xy 70.137 33.732
xy 70.151 33.666
xy 70.197 33.641
xy 70.168 33.521
xy 70.286 33.423
xy 70.327 33.332
xy 70.145 33.202
xy 70.068 33.205
xy 70.029 33.136
xy 69.881 33.090
xy 69.791 33.127
xy 69.701 33.078
xy 69.581 33.087
xy 69.491 33.004
xy 69.513 32.869
xy 69.395 32.774
xy 69.458 32.671
xy 69.378 32.568
xy 69.287 32.526
xy 69.248 32.444
xy 69.291 32.317
xy 69.272 32.145
xy 69.328 31.940
xy 69.224 31.871
xy 69.100 31.707
xy 69.019 31.651
xy 68.833 31.604
xy 68.728 31.704
xy 68.707 31.781
xy 68.519 31.825
xy 68.437 31.787
xy 68.572 31.765
xy 68.531 31.727
xy 68.272 31.772
xy 68.166 31.833
xy 68.072 31.695
xy 67.981 31.636
xy 67.882 31.638
xy 67.732 31.529
xy 67.576 31.532
xy 67.615 31.428
xy 67.668 31.400
xy 67.773 31.409
xy 67.792 31.341
xy 67.385 31.215
xy 67.256 31.222
xy 67.056 31.243
xy 67.043 31.316
xy 66.957 31.318
xy 66.842 31.272
xy 66.793 31.220
xy 66.723 31.212
xy 66.684 31.086
xy 66.573 30.981
xy 66.396 30.941
xy 66.282 30.575
xy 66.352 30.445
xy 66.325 30.238
xy 66.238 30.071
xy 66.362 29.956
xy 66.257 29.852
xy 65.034 29.541
xy 64.696 29.586
xy 64.479 29.573
xy 64.211 29.499
xy 64.122 29.389
xy 63.587 29.504
xy 62.484 29.406
xy 60.866 29.864
xy 61.787 30.810
xy 61.804 30.945
xy 61.851 31.021
xy 61.765 31.245
xy 61.771 31.318
xy 61.714 31.383
xy 61.104 31.463
xy 60.844 31.498
xy 60.797 32.037
xy 60.837 32.090
xy 60.858 32.235
xy 60.581 33.089
xy 60.591 33.163
xy 60.852 33.418
xy 60.854 33.490
xy 60.943 33.519
xy 60.886 33.557
xy 60.666 33.567
xy 60.528 33.644
xy 60.505 33.739
xy 60.554 33.813
xy 60.504 34.122
xy 60.546 34.196
xy 60.676 34.288
xy 60.666 34.312
xy 60.915 34.320
xy 60.722 34.522
xy 60.971 34.644
xy 60.983 34.734
xy 61.063 34.809
xy 61.070 34.929
xy 61.142 35.098
xy 61.095 35.184
xy 61.104 35.279
xy 61.193 35.306
xy 61.194 35.402
xy 61.288 35.550
xy 61.277 35.607
# Shape:2 (Polygon)  nVertices=202 nParts=1
#   Bounds:80.056 26.348
#       to 88.195 30.424
timezone 5.75
xy 82.066 27.914
xy 81.978 27.917
xy 81.880 27.857
xy 81.480 28.080
xy 81.422 28.166
xy 81.320 28.130
xy 81.312 28.193
xy 81.194 28.367
xy 81.019 28.404
xy 81.007 28.443
xy 80.939 28.441
xy 80.892 28.506
xy 80.798 28.524
xy 80.662 28.633
xy 80.585 28.654
xy 80.577 28.686
xy 80.506 28.658
xy 80.509 28.567
xy 80.440 28.629
xy 80.358 28.629
xy 80.246 28.751
xy 80.056 28.836
xy 80.060 28.932
xy 80.130 28.993
xy 80.147 29.108
xy 80.257 29.145
xy 80.240 29.215
xy 80.288 29.206
xy 80.307 29.311
xy 80.276 29.322
xy 80.236 29.425
xy 80.407 29.596
xy 80.377 29.749
xy 80.540 29.846
xy 80.599 29.955
xy 80.746 30.021
xy 80.873 30.139
xy 80.859 30.175
xy 80.893 30.211
xy 80.936 30.181
xy 81.025 30.204
xy 81.110 30.025
xy 81.224 30.010
xy 81.302 30.084
xy 81.291 30.131
xy 81.378 30.167
xy 81.421 30.385
xy 81.542 30.331
xy 81.558 30.382
xy 81.637 30.424
xy 81.803 30.364
xy 82.101 30.342
xy 82.107 30.231
xy 82.179 30.191
xy 82.150 30.126
xy 82.178 30.064
xy 82.231 30.075
xy 82.558 29.943
xy 82.656 29.835
xy 82.716 29.832
xy 82.711 29.790
xy 82.855 29.669
xy 82.909 29.694
xy 82.992 29.672
xy 83.093 29.583
xy 83.117 29.621
xy 83.195 29.631
xy 83.283 29.551
xy 83.284 29.474
xy 83.346 29.497
xy 83.379 29.466
xy 83.381 29.416
xy 83.527 29.269
xy 83.553 29.186
xy 83.672 29.160
xy 83.721 29.229
xy 83.912 29.290
xy 84.114 29.262
xy 84.137 29.214
xy 84.186 29.206
xy 84.158 29.135
xy 84.202 29.057
xy 84.256 29.042
xy 84.237 28.919
xy 84.396 28.859
xy 84.481 28.737
xy 84.636 28.703
xy 84.707 28.661
xy 84.706 28.601
xy 84.775 28.599
xy 84.847 28.544
